URL,Trigger_Text,Location,Check_Type
https://vaxfinder.mass.gov/locations/eastfield-mall-springfield/,Currently Full,Eastfield Mall,normal
https://www.cvs.com/immunizations/covid-19-vaccine,Agawam,CVS,CVS
